CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
75236	151835	9	0.8573	-34.964
49702	103397	9	0.9706	0.073
39533	75010	9	0.8919	-28.031
50939	122341	9	0.9294	189.173
101295	193789	9	0.9721	0.022
39533	44019	9	0.9098	172.073
36506	39679	9	0.9143	16.969
101845	170204	9	0.9594	-0.073
103754	156086	9	0.9363	-128.048
68411	259455	10	0.9203	0.035
71389	141520	11	0.9799	0.072
70408	71389	11	0.9808	-0.036
70408	141520	11	0.9988	0.036
67883	82142	12	0.8862	15.995
68228	68561	12	0.8766	14.016
49127	103616	12	0.8622	-35.000
34344	183596	12	1.0	0.062
53457	71226	12	0.9293	-0.020
44740	71226	12	0.869	30.984
73575	201167	12	0.931	-58.005
71226	103244	12	0.9658	-88.990
81318	103207	12	0.8827	80.047
41849	48087	12	0.9045	89.995
64499	201167	12	0.9432	38.073
53457	103662	12	0.8915	-117.005
46038	53457	12	0.9688	89.047
54929	119075	12	0.8834	0.036
45266	183596	12	0.9028	14.016
67073	201167	12	0.9339	40.088
49465	88701	12	0.862	0.000
42937	86858	12	0.9541	0.000
37984	44162	12	0.9297	16.979
44803	213183	12	0.9914	0.036
39395	41849	12	0.9846	-17.026
103662	344317	12	0.9219	-104.011
81318	121599	12	0.9244	80.011
46038	88701	12	0.9173	0.000
103662	129269	12	0.9544	27.995
67073	108076	12	0.9017	26.051
44979	55210	12	0.9591	72.057
35725	107852	12	0.9028	41.042
69094	82142	12	0.8864	-98.109
103207	103616	12	0.9351	0.000
73575	108076	12	0.911	-72.042
49465	102260	12	0.9307	89.084
80015	108076	12	0.9447	26.052
81771	103244	12	0.9713	146.059
38719	90607	12	0.9115	70.067
41474	44979	12	0.9669	-54.047
49465	121599	12	0.9796	0.000
35725	82142	12	0.9458	-40.041
81771	102260	12	0.9321	235.106
130092	213586	12	0.9975	0.000
46038	103207	12	0.9815	0.036
86300	109554	12	0.9771	-40.954
