CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
129	274	30	0.9358	308.184
252	8396	30	0.8883	44.134
433	666	30	0.9179	-176.105
143	151	30	0.9258	352.209
189	213	30	0.9015	88.052
118	152	30	0.9707	-176.105
107	630	30	0.9381	-27.000
114	118	30	0.9669	-220.131
158	223	30	0.9586	-176.105
663	683	30	0.9366	44.026
114	10913	30	0.9539	-176.027
6544	11241	30	0.9197	132.569
158	180	30	0.9386	-132.078
129	151	30	0.9503	264.157
274	522	30	0.9225	-115.052
630	748	30	0.9384	-176.105
125	10913	30	0.9324	-220.053
158	274	30	0.936	440.263
114	522	30	0.9267	17.027
180	10913	30	0.9621	264.235
132	152	30	0.9626	-264.157
151	11241	30	0.9115	334.725
107	132	30	0.9799	-88.053
151	10913	30	0.9393	-264.079
114	158	30	0.9547	-308.184
151	274	30	0.9542	44.027
145	303	30	0.9163	-220.132
152	223	30	0.9728	-88.053
554	10836	30	0.9194	71.100
114	274	30	0.9538	132.079
123	274	30	0.9403	-224.150
630	683	30	0.9455	-88.053
118	151	30	0.9527	308.183
158	303	30	0.9473	-264.157
114	630	30	0.927	-71.026
129	145	30	0.973	-176.105
145	10913	30	0.9662	176.182
381	405	30	0.9019	44.026
274	433	30	0.9213	-71.026
223	748	30	0.9262	237.158
405	11241	30	0.8975	273.671
118	129	30	0.977	44.026
630	11241	30	0.9304	493.803
145	152	30	0.9506	-44.027
107	145	30	0.9298	-308.184
143	145	30	0.9831	-88.053
666	6544	30	0.8983	405.260
118	132	30	0.9897	88.052
554	683	30	0.9153	-132.079
666	683	30	0.9284	-44.027
152	303	30	0.9586	-176.105
433	1204	30	0.923	71.027
554	630	30	0.939	-44.026
132	158	30	0.9734	-176.105
118	158	30	0.9821	-88.053
107	123	30	0.9743	400.255
554	666	30	0.9228	-88.052
683	9618	30	0.9156	452.305
274	10913	30	0.9173	-308.106
433	554	30	0.9293	-88.052
433	663	30	0.9161	-264.157
145	223	30	0.932	-132.079
522	666	30	0.92	-132.079
107	114	30	0.9787	44.026
123	151	30	0.9521	-268.177
663	6544	30	0.9198	493.312
107	125	30	0.9776	88.052
213	9618	30	0.8895	-73.007
114	151	30	0.975	88.052
132	145	30	0.9407	-220.131
114	123	30	0.973	356.229
145	411	30	0.9142	-264.157
145	151	30	0.9163	440.262
522	630	30	0.9463	-88.053
152	233	30	0.9414	-132.079
107	118	30	0.972	-176.105
158	10913	30	0.9481	132.157
213	3821	30	0.8857	14.988
152	158	30	0.9764	88.052
107	10913	30	0.9451	-132.001
223	663	30	0.9164	281.184
10836	11241	30	0.9285	378.676
139	213	30	0.8832	44.026
180	223	30	0.924	-44.027
152	180	30	0.9427	-44.026
118	143	30	0.9568	-44.026
274	11241	30	0.9219	290.698
143	158	30	0.9593	-44.027
