Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
TAU-12_DR,TAU-12_DR,Standard,ASRAMP,I
TAU-12_WC,TAU-12_WC,Standard,ASRAMP,I
TAU-CTD_OS,TAU-CTD_OS,Standard,ASRAMP,I
TUA-04_LR,TUA-04_LR,Standard,ASRAMP,I
TUT_01_DR,TUT_01_DR,Standard,ASRAMP,I
TUT_01_LR,TUT_01_LR,Standard,ASRAMP,I
TUT_01_OS,TUT_01_OS,Standard,ASRAMP,I
TUT_05_LR,TUT_05_LR,Standard,ASRAMP,I
TUT_72_DR,TUT_72_DR,Standard,ASRAMP,I
TUT_72_LR,TUT_72_LR,Standard,ASRAMP,I
TUT_72_OS,TUT_72_OS,Standard,ASRAMP,I
TUT_74_LR,TUT_74_LR,Standard,ASRAMP,I
TUT_75_LR,TUT_75_LR,Standard,ASRAMP,I
TUT_75_WC,TUT_75_WC,Standard,ASRAMP,I
TUT-05_DR,TUT-05_DR,Standard,ASRAMP,I
TUT-05_OS,TUT-05_OS,Standard,ASRAMP,I
TUT-05_WC,TUT-05_WC,Standard,ASRAMP,I
TUT-19_DR,TUT-19_DR,Standard,ASRAMP,I
TUT-19_LR,TUT-19_LR,Standard,ASRAMP,I
TUT-19_WC,TUT-19_WC,Standard,ASRAMP,I
TUT-74_DR,TUT-74_DR,Standard,ASRAMP,I
TUT-74_WC,TUT-74_WC,Standard,ASRAMP,I
TUT-75_DR,TUT-75_DR,Standard,ASRAMP,I
TUT-CTD_OS,TUT-CTD_OS,Standard,ASRAMP,I
Unknown,Unknown,Standard,UNKNOWN,I
Unknown_v1,Unknown,Standard,UNKNOWN,II
W1_a_T00,W1_a_T00,Standard,ROBO,I
W1_a_T00_v1,W1_a_T00,Standard,ROBO,II
W1_a_T36,W1_a_T36,Standard,ROBO,I
W1_a_T36_v1,W1_a_T36,Standard,ROBO,II
W1_c_T00,W1_c_T00,Standard,ROBO,I
W1_c_T00_v1,W1_c_T00,Standard,ROBO,II
W1_c_T36,W1_c_T36,Standard,ROBO,I
W1_c_T36_v1,W1_c_T36,Standard,ROBO,II
W1_w_T00,W1_w_T00,Standard,ROBO,I
W1_w_T00_v1,W1_w_T00,Standard,ROBO,II
W1_w_T36,W1_w_T36,Standard,ROBO,I
W1_w_T36_v1,W1_w_T36,Standard,ROBO,II
W1_x_T00,W1_x_T00,Standard,ROBO,I
W1_x_T00_v1,W1_x_T00,Standard,ROBO,II
W1_x_T-48,W1_x_T-48,Standard,ROBO,I
W1_x_T-48_v1,W1_x_T-48,Standard,ROBO,II
W2_a_T00,W2_a_T00,Standard,ROBO,I
W2_a_T00_v1,W2_a_T00,Standard,ROBO,II
W2_a_T36,W2_a_T36,Standard,ROBO,I
W2_a_T36_v1,W2_a_T36,Standard,ROBO,II
W2_c_T00,W2_c_T00,Standard,ROBO,I
W2_c_T00_v1,W2_c_T00,Standard,ROBO,II
W2_c_T36,W2_c_T36,Standard,ROBO,I
W2_c_T36_v1,W2_c_T36,Standard,ROBO,II
W2_w_T00,W2_w_T00,Standard,ROBO,I
W2_w_T00_v1,W2_w_T00,Standard,ROBO,II
W2_w_T36,W2_w_T36,Standard,ROBO,I
W2_w_T36_v1,W2_w_T36,Standard,ROBO,II
