"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"63","Otu00205",0.964754625671379,"Heated",0.319447083440284,122,"N","Otu00205","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter","Neptuniibacter_Otu00205","Nitrincolaceae_Neptuniibacter_Otu00205","Nitrincolaceae_Otu00205","N","plain",2.54160909749876
"64","Otu00222",NA,"Heated",-7.74887918387513,21,NA,"Otu00222","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified","Flavobacteriaceae_unclassified_Otu00222","Flavobacteriaceae_Flavobacteriaceae_unclassified_Otu00222","Flavobacteriaceae_Otu00222","N","plain",3.77897204934902
"65","Otu00227",0.394042970793938,"Heated",-2.0351476808573,262,"N","Otu00227","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00227","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00227","Rhodobacteraceae_Otu00227","N","plain",1.2151537925223
"66","Otu00230",0.754235590843411,"Heated",-2.0206377932421,30,"N","Otu00230","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00230","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00230","Rhodobacteraceae_Otu00230","N","plain",2.35186603369738
"67","Otu00234",0.394042970793938,"Heated",-2.31990364685004,168.666666666667,"N","Otu00234","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified","Nitrincolaceae_unclassified_Otu00234","Nitrincolaceae_Nitrincolaceae_unclassified_Otu00234","Nitrincolaceae_Otu00234","N","plain",1.38656161514136
"68","Otu00243",0.964754625671379,"Heated",-0.130903184347139,28.6666666666667,"N","Otu00243","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriales_unclassified","Flavobacteriales_unclassified","Flavobacteriales_unclassified_Otu00243","Flavobacteriales_unclassified_Flavobacteriales_unclassified_Otu00243","Flavobacteriales_unclassified_Otu00243","N","plain",1.31615112767118
"69","Otu00247",0.630828189253863,"Heated",0.858488570779925,72.6666666666667,"N","Otu00247","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00247","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00247","Rhodobacteraceae_Otu00247","N","plain",0.75091429270198
"70","Otu00248",0.81361820285532,"Heated",-0.566280037236044,630.333333333333,"N","Otu00248","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00248","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00248","Alteromonadaceae_Otu00248","N","plain",0.936702563915052
"71","Otu00251",NA,"Heated",3.06004730040128,30.3333333333333,NA,"Otu00251","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium","Marinobacterium_Otu00251","Nitrincolaceae_Marinobacterium_Otu00251","Nitrincolaceae_Otu00251","N","plain",3.57201578235692
"72","Otu00252",0.831499602038384,"Heated",0.515435953998411,871.333333333333,"N","Otu00252","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","Psychrosphaera_Otu00252","Pseudoalteromonadaceae_Psychrosphaera_Otu00252","Pseudoalteromonadaceae_Otu00252","N","plain",1.02550690295085
"73","Otu00263",0.831499602038384,"Heated",-0.746965944390421,144,"N","Otu00263","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum_Otu00263","Flavobacteriaceae_Tenacibaculum_Otu00263","Flavobacteriaceae_Otu00263","N","plain",1.53001087590514
"74","Otu00268",0.654024435753999,"Heated",-1.3492968676671,148,"N","Otu00268","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00268","NS9_marine_group_NS9_marine_group_ge_Otu00268","NS9_marine_group_Otu00268","N","plain",1.23580734081295
"75","Otu00276",0.754235590843411,"Heated",-1.06820202535944,111,"N","Otu00276","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00276","NS9_marine_group_NS9_marine_group_ge_Otu00276","NS9_marine_group_Otu00276","N","plain",1.29835931263131
"76","Otu00277",0.00507304579464259,"Heated",1.8204522481837,531,"Y","Otu00277","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Otu00277","Flavobacteriaceae_uncultured_Otu00277","Flavobacteriaceae_Otu00277","Y","bold",0.508859281898266
"77","Otu00284",0.520083181479845,"Heated",2.5924569509468,70,"N","Otu00284","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified","Nitrincolaceae_unclassified_Otu00284","Nitrincolaceae_Nitrincolaceae_unclassified_Otu00284","Nitrincolaceae_Otu00284","N","plain",1.84596706828075
"78","Otu00289",0.801719645996,"Heated",-1.32175315856885,68,"N","Otu00289","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Lentilitoribacter","Lentilitoribacter_Otu00289","Rhizobiaceae_Lentilitoribacter_Otu00289","Rhizobiaceae_Otu00289","N","plain",1.87345905742898
"79","Otu00290",0.964754625671379,"Heated",-0.216844355996657,383,"N","Otu00290","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00290","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00290","Alteromonadaceae_Otu00290","N","plain",1.29157040695128
"80","Otu00295",0.754235590843411,"Heated",-1.12687384403548,124.666666666667,"N","Otu00295","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00295","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00295","Rhodobacteraceae_Otu00295","N","plain",1.28208800440802
