"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","X","X.1","X.2","X.3","X.4","DA_in"
"Otu00024","Otu00024",0.300204088007672,0.679990348731387,0.962365786968339,0.999312469187543,0.929396694365351,0.997343993153846,-1.23985554887186,0.0560747636005267,0.0941223352557187,"N","N","N","esv_24","Otu00024","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","HIMB11","",NA,NA,NA,"","NNN"
"Otu00243","Otu00243",0.920771990146758,0.964756238204011,0.202709966303158,0.655572656980426,0.267142936724325,0.94431921818831,-0.130906349254432,1.65422056188426,-1.29833671506442,"N","N","N","esv_246","Otu00243","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriales_unclassified","Flavobacteriales_unclassified","",NA,NA,NA,"","NNN"
"Otu00247","Otu00247",0.252932477756025,0.630825576373103,0.756017119609078,0.941906394828814,0.712152852051668,0.997343993153846,0.85848742840552,0.232038828178096,-0.245931515505238,"N","N","N","esv_250","Otu00247","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00248","Otu00248",0.545478528375606,0.813612520281641,0.863412822244385,0.964665375723706,0.898749637337468,0.997343993153846,-0.566283313953954,-0.160514797198542,0.106085739469547,"N","N","N","esv_251","Otu00248","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00251","Otu00251",NA,NA,NA,NA,NA,NA,3.06003382291417,3.37463051303769,-1.26253185850181,NA,NA,NA,"esv_254","Otu00251","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium","",NA,NA,NA,"","NANANA"
"Otu00252","Otu00252",0.615236762580793,0.831501556312961,0.796958137213278,0.941906394828814,0.206322371083532,0.825289484334127,0.515433071091239,-0.263647113769344,1.15598406168384,"N","N","N","esv_255","Otu00252","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","",NA,NA,NA,"","NNN"
"Otu00263","Otu00263",0.625402879961885,0.831501556312961,0.0382057199224541,0.187331271877839,0.0557260043518179,0.302512595052726,-0.746964217538603,3.03803139437013,2.51026384177555,"N","N","N","esv_267","Otu00263","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","",NA,NA,NA,"","NNN"
"Otu00027","Otu00027",0.150469199584211,0.502997038610078,9.20157193448796e-05,0.00174829866755271,0.0420262715867807,0.245692049276564,-0.714321142945569,-1.94391886793681,-0.898704378055707,"N","Y","N","esv_27","Otu00027","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","",NA,NA,NA,"","Bleached + Ambient"
"Otu00268","Otu00268",0.274904778155964,0.654022180378389,0.869468134698341,0.964665375723706,0.686399748678202,0.997343993153846,-1.34930200947159,0.200228521815198,-0.439934141486957,"N","N","N","esv_272","Otu00268","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","",NA,NA,NA,"","NNN"
"Otu00276","Otu00276",0.4106595670361,0.754232410160575,0.31829708050816,0.76613611873938,0.847507259832969,0.997343993153846,-1.06820529917139,1.26631931439003,0.218425103532611,"N","N","N","esv_280","Otu00276","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","",NA,NA,NA,"","NNN"
