"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig"
"35","Otu00027",0.170335422530472,0.458959332929326,4.97433033010064e-05,0.00113178471066825,0.010834094152489,0.116767459199048,0.643245531217093,1.90330690690365,1.06213495147218,"N","Y","N"
"36","Otu00268",0.237637334183638,0.523027252228788,0.814882513089445,0.962198110632813,0.554852914469205,0.981452785874647,1.4288862584709,-0.278253107009992,0.627654801530149,"N","N","N"
"37","Otu00276",0.366005764689815,0.648707038166285,0.298529243622025,0.699539455443832,0.981452785874647,0.981452785874647,1.13685998002589,-1.27029447026399,-0.0254287067216581,"N","N","N"
"38","Otu00277",0.000132142033504702,0.00427259241665202,0.0133418094343857,0.0836358193411738,0.00131012453593155,0.0317705199963401,-1.86960913706133,-1.20496377529858,-1.39460164958044,"Y","N","Y"
"39","Otu00284",0.118009225153924,0.408817672854667,0.0784156445343411,0.281715463697447,0.591040350105672,0.981452785874647,-2.8364609628089,-3.19129025897675,0.873642753593221,"N","N","N"
"40","Otu00003",0.169324204696464,0.458959332929326,0.272993555833072,0.699539455443832,0.0421978577379476,0.292370871470066,0.859454705504429,0.685006251874367,1.13534382313292,"N","N","N"
"41","Otu00030",0.231276623264237,0.521717033875139,0.857309444862812,0.974135770760056,0.222074737757381,0.797824057869108,-0.627985698465093,-0.094266469949162,-0.57228869229801,"N","N","N"
"42","Otu00299",0.059371015441922,0.31541666863693,0.0192510918708728,0.103741995081926,0.0732865735441864,0.394933201877004,-1.59453034248044,-1.96713097497137,-1.3465004468132,"N","N","N"
"43","Otu00308",0.358556641759661,0.648707038166285,0.734595198379192,0.962198110632813,0.853412671159971,0.981452785874647,1.08378242454876,0.391290863144176,-0.189712864555964,"N","N","N"
"44","Otu00313",0.192912309391753,0.480410699128641,0.0122978249352417,0.0836358193411738,0.162236873621702,0.735643416637668,-2.06094958018274,-3.94326766857895,-1.97157575047541,"N","N","N"
"45","Otu00322",9.72527511217031e-10,9.4335168588052e-08,3.77134742903316e-11,1.82910350308108e-09,4.33730915432969e-11,4.2071898796998e-09,-22.7877283561365,-24.6002142037716,-22.2157491737717,"Y","Y","Y"
"46","Otu00034",0.160369562838338,0.457524929274083,0.324528613350231,0.699539455443832,0.345460893801707,0.930825186076822,1.64242783011668,1.12810817860687,0.961063295956944,"N","N","N"
"47","Otu00334",NA,NA,NA,NA,NA,NA,-1.83607016073334,-2.01342792430679,0.726976974493003,NA,NA,NA
"48","Otu00335",0.382115420757782,0.648707038166285,0.569116658816526,0.882049290925521,0.840072678098715,0.981452785874647,1.63237166096211,1.0480798495515,0.330935014766897,"N","N","N"
"49","Otu00348",0.283476900303455,0.561168557743574,0.419301502064279,0.778586432656484,0.913719899549495,0.981452785874647,1.92164080255244,1.43350204954679,0.171462479600888,"N","N","N"
"50","Otu00036",0.87759901153074,0.935462682620678,0.572877374518637,0.882049290925521,0.855076086175352,0.981452785874647,0.0825321523882984,-0.300314399316928,-0.0869249756172684,"N","N","N"
"51","Otu00038",0.212364287509178,0.502422826546105,0.436969091038798,0.782380132901502,0.271257047004355,0.863940815161766,0.755671961434834,0.467039607866627,0.590078463868137,"N","N","N"
"52","Otu00368",0.135036857967596,0.432173648393803,0.0767084701972923,0.281715463697447,0.00692779110149093,0.0959993909778029,-1.0561455258215,1.26977486881978,-1.68823040583204,"N","N","N"
"53","Otu00370",0.577162500959338,0.756550845852106,0.22256568198181,0.621690989194746,0.720505946967099,0.981452785874647,0.646503178517665,-1.38879969362159,0.364997642170999,"N","N","N"
"54","Otu00039",0.414563591070907,0.648707038166285,0.315173183936615,0.699539455443832,0.920530018854499,0.981452785874647,1.03716972138758,1.26518626019898,-0.111574701456511,"N","N","N"
"55","Otu00004",0.406061066146241,0.648707038166285,0.566647370416619,0.882049290925521,0.936841916314938,0.981452785874647,0.297947056500194,-0.204511670985206,-0.0252773472719543,"N","N","N"
"56","Otu00387",0.431952192071365,0.648707038166285,0.7742295038559,0.962198110632813,0.897867643301028,0.981452785874647,1.06191177902927,0.380021920235929,0.15147946807193,"N","N","N"
"57","Otu00389",0.369826335462346,0.648707038166285,0.768758552418934,0.962198110632813,0.583582654252383,0.981452785874647,1.04269692800422,0.336390699515629,0.559707092900351,"N","N","N"
"58","Otu00041",0.0218098439880264,0.141036991122571,0.823324156520861,0.962198110632813,0.386581925182253,0.981452785874647,1.76485347992656,0.170627613078842,0.591631699308182,"N","N","N"
"59","Otu00395",0.424931664193314,0.648707038166285,0.554816399343893,0.882049290925521,0.794148626827868,0.981452785874647,1.09944077330104,-0.779604570328082,-0.307678749475519,"N","N","N"
"60","Otu00404",0.507938132436923,0.708266522532901,0.928350585868636,0.974135770760056,0.977531075961586,0.981452785874647,1.25079815356444,0.168026604563503,0.0470075982701663,"N","N","N"
"61","Otu00043",0.277330248762594,0.560438211041075,0.776940099532622,0.962198110632813,0.97025086173719,0.981452785874647,1.2701702620003,-0.328600965157758,0.0386744588407199,"N","N","N"
"62","Otu00410",0.147028148422634,0.432173648393803,2.00814207263747e-05,0.000649299270152783,0.509509482522729,0.981452785874647,2.05167544892873,8.45689224742256,0.806087506171056,"N","Y","N"
"63","Otu00044",0.930737511357485,0.96044190001783,0.906673902677563,0.974135770760056,0.608110492306281,0.981452785874647,-0.044083876896407,-0.0591425798583812,-0.23093027895641,"N","N","N"
"64","Otu00420",0.993744381336541,0.993932657485038,0.0453099300182034,0.183127633823572,0.234918547178365,0.80168821670299,0.00891573672978099,-2.22121150091715,-1.17990947570537,"N","N","N"
