"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"6250_460.2691_8.9772_1013_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",1243368,555764,588662.7,478909.9,1722031,326817.1,1033204,453645.7,679074.3,3531628,616863.5,1699523,3098530,1819028,1220839,2436674,1123372,1085116,1567039,907655.9,506699.3,740246.3,3063045,1809200,1934118,828811,618894.9,963188.9,2966101,677198.4,1900790,2673324,690603.8,1119456,1510863
"6251_250.1519_7.0754_701_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_NA",5308032,5282433,4327577,4464448,2420293,461882.5,1292229,2215299,2126547,3660156,3111213,972762.5,564722.7,1143170,857867.8,1907227,903339.2,3923650,816757.2,3463797,6268660,657317.2,767785.3,3472240,1809840,1751912,1094646,1543513,2004163,2279492,4110167,649258.6,1300181,1480388,826401.5
"6252_316.1545_2.8651_628_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Tetrahydroisoquinolines_NA",285022,925298.3,607593.9,0,557559.4,1744893,1435624,837986.5,997284.2,1755111,1277485,1181632,1094962,1625104,1425434,2365644,587849.1,373845.2,315465.3,335871.3,546810.5,443452.7,603333.3,455692.3,651388.7,381836,703537.2,553234,829192.1,880208.9,890436.4,2804791,695214.2,401639,1656900
"6254_852.2294_12.2216_184_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",72166.38,206317.8,184301,157538.1,134407.6,0,463083.7,1097576,271414.6,240590.5,2440504,38141.35,7312.998,215834.6,16647.37,612696.9,423246.7,411792.1,627307.6,475031.4,953062.5,239618.3,663981.1,452397.1,575085.9,180205.4,414995.4,505636,6758708,4141395,8798417,15436000,0,7232380,230680.6
"6255_470.1656_4.3611_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",10280640,5570140,5497790,3592532,11843750,26039970,25539580,8055946,8206422,52778440,24803950,198215000,8914948,16728290,100692400,11174620,36051850,18838070,45896910,4597275,9870237,17266790,9779594,27458030,64287480,6670917,23160580,9081558,18742640,12581490,173227500,13343790,23945740,16992670,29673380
"6256_268.118_2.5494_91_N/A_(3aS,8aR)-1,3a,8-trimethyl-1,2,3,3a,8,8a-hexahydropyrrolo[2,3-b]indol-5-yl methylcarbamate_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",8855752,2673301,3306927,14669290,5743219,7331863,11933010,4295117,2585605,9097442,21110330,10028680,1669351,29956870,6554176,6713119,8616112,24192610,20755560,10453980,9369555,24740400,10584130,24656930,4368327,12162580,4383810,23112660,20699960,6763848,19860420,17691320,3562634,8091379,4101870
"6257_293.158_3.7896_386_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",1096346,1764802,1591100,311434.6,1571481,1875255,2154081,1008691,1831309,740300.3,1733440,1202673,3584516,553354.2,1634705,5370483,1232606,689133.6,1018294,861291.4,946338.6,1523114,3898833,2887314,999367,707539.3,3950531,726849.8,2410016,3072747,1692694,2114671,746152.5,3312632,1338332
"6258_518.2597_5.0505_383_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Amino acids, peptides, and analogues",7485443,1104526,1561425,1469767,1848159,4006428,2433932,3942300,5084998,2623120,748673.2,1218422,2952635,2310908,2220044,2724915,1485065,7262353,1985547,1125061,1471639,1572915,2286202,2107340,4604223,6346213,3534601,8078820,1293225,1289064,4259529,3130114,2259404,5309873,4935911
"6259_348.1442_4.8135_1439_N/A_NA_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",2086838,1704070,3212333,947430.6,885673.4,2552223,1806215,4016173,2467195,2061363,1184646,2673124,1238028,1725576,1540783,3162423,2754533,2226951,4668054,1410419,883360.1,1235064,3195318,2141748,6166123,2676576,2765874,2192668,3383710,1684934,1364778,2733161,947148.7,3121793,868233.9
"6260_745.4193_5.026_414_N/A_1,2,6,6,10,17,20-heptamethyl-17-[N-(3-nitrophenyl)carbamoyl]-12-oxopentacyclo[ 12.8.0.0.0.0]docos-13-en-7-yl acetate_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Triterpenoids",18963630,24938750,34855960,48733430,32997300,629619.3,1663873,6362378,20718220,30313700,59145460,12162100,9896079,17657410,4151855,1321075,7531103,10465080,10048250,11067940,18848870,18696260,0,0,4482131,11473520,25052180,17029780,4241175,6531140,8606843,2794779,898385.1,3267579,0
