"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"304","Otu01012",0.0164067819192832,"Bleached",-6.97579243896954,46.3333333333333,"Y","Otu01012","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu01012","Alteromonadaceae_Alteromonadaceae_unclassified_Otu01012","Alteromonadaceae_Otu01012","Y","bold",2.20273199562383
"305","Otu01023",0.0164067819192832,"Bleached",-6.9635707564666,44.6666666666667,"Y","Otu01023","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu01023","Alteromonadaceae_Alteromonadaceae_unclassified_Otu01023","Alteromonadaceae_Otu01023","Y","bold",2.20894245900421
"311","Otu01224",8.00458006816091e-08,"Bleached",10.792629062085,0,"Y","Otu01224","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu01224","Pseudoalteromonadaceae_Pseudoalteromonas_Otu01224","Pseudoalteromonadaceae_Otu01224","Y","bold",1.78804442566222
"314","Otu01296",0.000673238476312365,"Bleached",10.4593082845109,0,"Y","Otu01296","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu01296","Pseudoalteromonadaceae_Pseudoalteromonas_Otu01296","Pseudoalteromonadaceae_Otu01296","Y","bold",2.45522791538255
"320","Otu00002",0.120199963107898,"Bleached + Heated",0.775714565692639,14815.5,"N","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00002","Alteromonadaceae_Alteromonas_Otu00002","Alteromonadaceae_Otu00002","Y","bold",0.316450537989095
"326","Otu00008",0.153825995666526,"Bleached + Heated",-0.723915228059627,614.5,"N","Otu00008","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60","OM60_Otu00008","Halieaceae_OM60_Otu00008","Halieaceae_Otu00008","Y","bold",0.311781932195438
"327","Otu00009",0.997337269467708,"Bleached + Heated",0.162915883619922,322,"N","Otu00009","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","OM43_clade","OM43_clade_Otu00009","Methylophilaceae_OM43_clade_Otu00009","Methylophilaceae_Otu00009","Y","bold",0.65237534447425
"339","Otu00027",0.245693568341758,"Bleached + Heated",-0.898703022270838,634.5,"N","Otu00027","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola_Otu00027","Litoricolaceae_Litoricola_Otu00027","Litoricolaceae_Otu00027","Y","bold",0.44200161376856
"349","Otu00048",0.000257096384265565,"Bleached + Heated",1.43412840740003,2195,"Y","Otu00048","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","Aestuariibacter_Otu00048","Alteromonadaceae_Aestuariibacter_Otu00048","Alteromonadaceae_Otu00048","Y","bold",0.324905657637225
"354","Otu00058",0.302509815639991,"Bleached + Heated",-1.51871220736928,142.5,"N","Otu00058","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00058","NS9_marine_group_NS9_marine_group_ge_Otu00058","NS9_marine_group_Otu00058","Y","bold",0.793706210322339
