CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1445	2306	11	0.9275	40.031
1165	1464	11	0.9615	-40.031
1190	1834	11	0.9487	26.015
9478	14276	11	0.945	-28.031
1472	1633	11	0.9373	-12.000
1109	59168	11	0.8758	-67.153
1212	2239	11	0.9592	-42.047
1190	63991	11	0.9448	-0.000
1682	2170	11	0.8846	-1.980
14276	22184	11	0.9196	-14.016
1682	1802	11	0.888	-55.954
1630	32275	11	0.8789	-12.003
42387	107601	11	0.9286	-0.000
2136	42387	11	0.8753	-103.173
1199	28696	11	0.9383	42.047
1220	2084	11	0.9513	-56.063
1165	1199	11	0.9772	-14.016
1165	1203	11	0.9726	14.016
20750	28797	11	0.873	17.903
1266	2100	11	0.9454	-26.016
2351	32275	11	0.9117	-14.016
61183	85329	11	0.882	0.048
1393	3683	11	0.9201	40.031
1445	66682	11	0.9378	-12.000
1193	1220	11	0.9454	40.031
1748	2239	11	0.9611	-12.000
1421	1682	11	0.8762	57.970
1260	1633	11	0.9138	40.031
1190	1718	11	0.9614	-56.063
1630	29265	11	0.8639	-24.039
4525	9478	11	0.9224	70.078
1266	1445	11	0.9328	16.031
1742	2136	11	0.8937	-108.022
29113	30015	11	0.9159	-13.979
2239	28696	11	0.9321	82.078
1718	1834	11	0.9317	82.078
1212	28696	11	0.9549	40.031
2429	44922	11	0.8486	-42.046
1220	1221	11	0.9767	-28.031
1430	1742	11	0.9188	-42.048
1190	1203	11	0.9537	-12.000
1273	1277	11	0.944	26.016
1163	2084	11	0.903	-68.063
1322	1393	11	0.9385	-12.000
1184	1272	11	0.9786	28.031
1190	1220	11	0.9495	12.000
1484	14276	11	0.9507	28.031
1174	1193	11	0.9868	-14.016
1484	9478	11	0.9422	56.062
1190	1273	11	0.9804	14.016
1174	1203	11	0.9463	2.016
1163	14276	11	0.9459	-14.016
59168	107601	11	0.9133	0.000
1174	1268	11	0.965	-28.031
1184	22184	11	0.9193	-14.016
1273	28696	11	0.9611	-12.000
1233	1389	11	0.9799	0.075
1364	66682	11	0.8911	2.016
1314	2084	11	0.9574	-14.016
4560	63991	11	0.9214	70.078
1795	32275	11	0.8425	12.036
286	59168	11	0.8712	-123.147
286	1109	11	0.8748	-55.994
1682	1777	11	0.94	0.000
1751	66682	11	1.0	0.000
28797	29265	11	0.8851	30.047
1273	1718	11	0.9355	-70.078
1199	1266	11	0.9631	-12.000
1273	1834	11	0.9451	12.000
1266	1748	11	0.9381	-16.031
1322	28696	11	0.9941	0.000
1364	1445	11	0.916	14.016
1427	4134	11	0.8574	42.047
1199	1280	11	0.9751	-14.016
1630	85329	11	0.8735	-24.039
1165	1193	11	0.9484	-2.016
1163	1184	11	0.9803	-14.016
1633	2306	11	0.9251	-12.000
1149	1802	11	0.9225	28.031
1277	111482	11	0.9476	-12.000
1149	42387	11	0.8786	-113.195
2306	3683	11	0.9375	26.016
1165	1190	11	0.961	26.016
14148	90705	11	0.8657	-26.015
1163	1221	11	0.9214	-40.031
1633	6255	11	0.9058	40.031
1630	1795	11	0.8661	-24.039
1193	1268	11	0.9675	-14.016
1364	1389	11	0.9788	-14.016
5096	17968	11	0.8717	4.032
1174	1280	11	0.9557	-40.031
1221	1268	11	0.931	-26.016
28696	111482	11	0.9521	26.016
1165	1212	11	0.9598	-12.000
2136	5096	11	0.8816	13.979
2170	2820	11	0.8494	-45.111
