Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_217,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T24,24,1,,PB1_T7H,ABCDOM
ABC_218,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T24,24,2,,PB2_T7H,ABCDOM
ABC_219,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T24,24,3,,PB3_T7H,ABCDOM
ABC_220,Hot,Non Bleached,Thermal Stress,Heated,FCM,T24,24,4,Not taken,HE1_T7H,ABCDOM
ABC_221,Hot,Non Bleached,Thermal Stress,Heated,FCM,T24,24,5,,HE2_T7H,ABCDOM
ABC_222,Hot,Non Bleached,Thermal Stress,Heated,FCM,T24,24,6,,HE3_T7H,ABCDOM
ABC_223,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T24,24,7,,,ABCDOM
ABC_224,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T24,24,8,,,ABCDOM
ABC_225,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T24,24,9,,,ABCDOM
ABC_226,Ambient,Bleached,Ambient,Bleached,FCM,T24,24,10,,BL1_T7C,ABCDOM
ABC_227,Ambient,Bleached,Ambient,Bleached,FCM,T24,24,11,,BL2_T7C,ABCDOM
ABC_228,Ambient,Bleached,Ambient,Bleached,FCM,T24,24,12,,BL3_T7C,ABCDOM
ABC_229,Ambient,Non Bleached,Ambient,Control,FCM,T24,24,13,,HE1_T7C,ABCDOM
ABC_230,Ambient,Non Bleached,Ambient,Control,FCM,T24,24,14,,HE2_T7C,ABCDOM
ABC_231,Ambient,Non Bleached,Ambient,Control,FCM,T24,24,15,,HE3_T7C,ABCDOM
ABC_232,Ambient,NA,Ambient,Negative Control,FCM,T24,24,16,,,ABCDOM
ABC_233,Ambient,NA,Ambient,Negative Control,FCM,T24,24,17,,,ABCDOM
ABC_234,Ambient,NA,Ambient,Negative Control,FCM,T24,24,18,,,ABCDOM
ABC_235,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T32,32,1,,PB1_T7H,ABCDOM
ABC_236,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T32,32,2,,PB2_T7H,ABCDOM
ABC_237,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T32,32,3,,PB3_T7H,ABCDOM
ABC_238,Hot,Non Bleached,Thermal Stress,Heated,FCM,T32,32,5,,HE2_T7H,ABCDOM
