Tree#,Groups,WScore
1,A1_x_T00-ABC_011,0.322051
1,A1_x_T_48-ABC_011,0.496506
1,A2_a_T00-ABC_011,0.25218
1,A2_a_T36-ABC_011,0.45169
1,A2_c_T00-ABC_011,0.263887
1,A2_c_T36-ABC_011,0.501132
1,A2_w_T00-ABC_011,0.301027
1,A2_w_T36-ABC_011,0.426871
1,A2_x_T00-ABC_011,0.31688
1,A2_x_T_48-ABC_011,0.503752
1,A3_a_T00-ABC_011,0.287127
1,A3_a_T36-ABC_011,0.4248
1,A3_c_T00-ABC_011,0.299216
1,A3_c_T36-ABC_011,0.450367
1,A3_w_T00-ABC_011,0.304851
1,A3_w_T36-ABC_011,0.411462
1,A3_x_T00-ABC_011,0.347852
1,A3_x_T_48-ABC_011,0.459727
1,ABC_001-ABC_011,0.14066
1,ABC_002-ABC_011,0.149767
1,ABC_003-ABC_011,0.144044
1,ABC_005-ABC_011,0.149619
1,ABC_006-ABC_011,0.149119
1,ABC_007-ABC_011,0.144934
1,ABC_008-ABC_011,0.142942
1,ABC_009-ABC_011,0.155526
1,ABC_010-ABC_011,0.115821
1,A1_a_T00-ABC_012,0.26192
1,A1_a_T36-ABC_012,0.422466
1,A1_c_T00-ABC_012,0.299693
1,A1_c_T36-ABC_012,0.459794
1,A1_w_T00-ABC_012,0.281253
1,A1_w_T36-ABC_012,0.438162
1,A1_x_T00-ABC_012,0.292219
1,A1_x_T_48-ABC_012,0.472433
1,A2_a_T00-ABC_012,0.240665
1,A2_a_T36-ABC_012,0.471036
1,A2_c_T00-ABC_012,0.264111
1,A2_c_T36-ABC_012,0.516525
1,A2_w_T00-ABC_012,0.313287
1,A2_w_T36-ABC_012,0.44068
1,A2_x_T00-ABC_012,0.275799
1,A2_x_T_48-ABC_012,0.477322
1,A3_a_T00-ABC_012,0.289814
1,A3_a_T36-ABC_012,0.438501
1,A3_c_T00-ABC_012,0.318997
1,A3_c_T36-ABC_012,0.455477
1,A3_w_T00-ABC_012,0.298096
1,A3_w_T36-ABC_012,0.424204
1,A3_x_T00-ABC_012,0.306118
1,A3_x_T_48-ABC_012,0.432187
1,ABC_001-ABC_012,0.124846
1,ABC_002-ABC_012,0.123941
1,ABC_003-ABC_012,0.122443
1,ABC_005-ABC_012,0.096471
1,ABC_006-ABC_012,0.106425
1,ABC_007-ABC_012,0.113401
1,ABC_008-ABC_012,0.13639
1,ABC_009-ABC_012,0.134126
1,ABC_010-ABC_012,0.215494
1,ABC_011-ABC_012,0.130812
1,A1_a_T00-ABC_013,0.253079
1,A1_a_T36-ABC_013,0.411961
1,A1_c_T00-ABC_013,0.300222
1,A1_c_T36-ABC_013,0.449862
1,A1_w_T00-ABC_013,0.279721
1,A1_w_T36-ABC_013,0.418335
1,A1_x_T00-ABC_013,0.293557
1,A1_x_T_48-ABC_013,0.47028
1,A2_a_T00-ABC_013,0.229476
1,A2_a_T36-ABC_013,0.443845
1,A2_c_T00-ABC_013,0.26027
1,A2_c_T36-ABC_013,0.501613
1,A2_w_T00-ABC_013,0.288534
1,A2_w_T36-ABC_013,0.417998
1,A2_x_T00-ABC_013,0.28439
1,A2_x_T_48-ABC_013,0.479134
1,A3_a_T00-ABC_013,0.306751
1,A3_a_T36-ABC_013,0.427272
1,A3_c_T00-ABC_013,0.340055
1,A3_c_T36-ABC_013,0.461992
1,A3_w_T00-ABC_013,0.330025
1,A3_w_T36-ABC_013,0.409582
1,A3_x_T00-ABC_013,0.316946
1,A3_x_T_48-ABC_013,0.433029
1,ABC_001-ABC_013,0.0668
1,ABC_002-ABC_013,0.067542
1,ABC_003-ABC_013,0.052774
1,ABC_005-ABC_013,0.089765
1,ABC_006-ABC_013,0.066622
1,ABC_007-ABC_013,0.072861
1,ABC_008-ABC_013,0.0497
1,ABC_009-ABC_013,0.061005
1,ABC_010-ABC_013,0.22245
1,ABC_011-ABC_013,0.117142
1,ABC_012-ABC_013,0.114569
1,A1_a_T00-ABC_014,0.277554
1,A1_a_T36-ABC_014,0.424156
1,A1_c_T00-ABC_014,0.312403
1,A1_c_T36-ABC_014,0.46501
1,A1_w_T00-ABC_014,0.292613
1,A1_w_T36-ABC_014,0.432379
1,A1_x_T00-ABC_014,0.331298
1,A1_x_T_48-ABC_014,0.495671
