ID1,ID2,EdgeType,Score,Annotation
1020,6553,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0002
1024,1489,MS1 annotation,2.000,[2M+H+Na]2+ [M+HFA+NH4]+ dm/z=52.0416
1030,1316,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1033,6558,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1033,8404,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9950
1034,6813,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
1037,1194,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
1045,1717,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
1049,1249,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
1049,1106,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
1052,6532,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1052,6473,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9845
1059,1227,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0107
1059,2036,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
1063,1180,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1063,6565,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
1065,6566,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
1073,1125,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1077,1296,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1087,1549,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1091,2413,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
1101,1237,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
1101,6569,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
1101,6570,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
1102,2500,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
1102,1701,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1106,1249,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0107
1121,1176,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1126,1200,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
